items: # 장비 - 100000, 소비 - 200000, 기타 - 300000
  110001:
    name: "가죽 투구"
    desc: ""
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 1908
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 1908
    price: 0
    max_count: 1
    stat:
      req_lv: 10
      max_hp: 1831
  110002:
    name: "철제 투구 "
    desc: ""
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 1904
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 1904
    price: 0
    max_count: 1
    stat:
      req_lv: 25
      max_hp: 10000
  120001:
    name: "가죽 갑옷"
    desc: ""
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 1924
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 1924
    price: 0
    max_count: 1
    stat:
      req_lv: 10
      max_hp: 5000
  120002:
    name: "철제 갑옷"
    desc: ""
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 1920
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 1920
    price: 0
    max_count: 1
    stat:
      req_lv: 25
      max_hp: 10000
  131001:
    name: "목검"
    desc: ""
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 153
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 153
    price: 0
    max_count: 1
    stat:
      req_lv: 10
      atk: 1000
  131002:
    name: "철검"
    desc: ""
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 154
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 154
    price: 0
    max_count: 1
    stat:
      req_lv: 25
      atk: 2000
  200000: # 아이템 고유 ID
    name: "먹다 남은 빵"
    desc: "먹다 남은 빵입니다. 먹어도 별로 맛이 없습니다.\nHP를 약 10 회복시킨다."
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 512
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 512
    price: 100 # 유저가 상점에 판매할 때의 가격
    max_count: 3000
    # 위 속성이 공통 속성입니다.
    effect:
      hp: 10
      # hp_percent: 0
      # duration: 0
      # atk: 0
      # def: 0
      # dig: 0
  200001:
    name: "초급 물약"
    desc: "초급 물약입니다. HP를 약 20% 회복시킨다."
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 264
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 264
    price: 1000
    max_count: 99
    effect:
      hp_percent: 20
  200002:
    name: "중급 물약"
    desc: "중급 물약입니다. HP를 약 40% 회복시킨다."
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 265
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 265
    price: 2000
    max_count: 49
    effect:
      hp_percent: 40
  200003:
    name: "고급 물약"
    desc: "고급 물약입니다. HP를 약 60% 회복시킨다."
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 266
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 266
    price: 3000
    max_count: 99
    effect:
      hp_percent: 60
  200004:
    name: "장인의 물약"
    desc: "장인의 물약입니다. HP를 약 80% 회복시킨다."
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 267
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 267
    price: 4000
    max_count: 99
    effect:
      hp_percent: 80
  200005:
    name: "순수의 물약"
    desc: "순수의 물약입니다. HP를 약 100% 회복시킨다."
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 268
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 268
    price: 5000
    max_count: 99
    effect:
      hp_percent: 100
  200011:
    name: "낡은 고기"
    desc: "체력을 100만큼 회복합니다"
    icon:
      path: "Sprites\\ItemIconSet.png"
      index: 484
    ui_icon:
      path: "UI\\ItemIconSet.png"
      index: 484
    price: 100
    max_count: 99
    effect:
      hp: 100
  200012:
    name: "괜찮은 고기"
    desc: "체력을 300만큼 회복합니다"
    icon:
